ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Cundinamarca,Macheta,12,12.4
2015,Atlántico,Soledad,141,0
2015,Bolívar,Arroyohondo,5,28.18
2015,Norte de Santander,La Playa,10,33.65
2015,Cundinamarca,Soacha,109,1.11
2015,Antioquia,Santafé De Antioquia,25,4
2015,Cundinamarca,Fomeque,22,14.31
2015,Huila,Teruel,56,47.28
2015,Valle del Cauca,Trujillo,25,22.12
2015,Casanare,La Salina,6,11.16
2015,Nariño,El Tablón De Gómez,151,51.13
2015,Cundinamarca,Vergara,10,5.33
2015,Cauca,Santander De Quilichao,61,11.73
2015,Casanare,Tauramena,34,9.89
2015,Bolívar,Altos Del Rosario,13,40.97
2015,Antioquia,Guadalupe,28,2.74
2015,Cesar,Aguachica,68,5.28
2015,Cundinamarca,Apulo,13,27.71
2015,Caldas,Marmato,92,58.82
2015,Quindio,Génova,18,0
2015,Nariño,Cumbitara,52,47.32
2015,Boyacá,Maripí,24,13.56
2015,Caquetá,San José Del Fragua,28,0.86
2015,Risaralda,Pereira,349,7.07
2015,Boyacá,Jericó,16,29.59
2015,Santander,Sucre,7,42.57
2015,Norte de Santander,Bochalema,20,24.5
2015,Risaralda,Guática,76,14.58
2015,Antioquia,Medellín,1218,1.43
2015,Huila,Pitalito,233,46.88
2015,Cesar,Tamalameque,6,100
2015,Antioquia,Hispania,27,0.72
2015,Cesar,La Jagua De Ibirico,18,8.33
2015,Nariño,Francisco Pizarro,11,61.32
2015,Bolívar,Tiquisio,17,56.75
2015,Boyacá,Busbanzá,16,4.51
2015,Nariño,Barbacoas,33,72.38
2015,Meta,Mesetas,24,79.83
2015,Antioquia,Titiribí,52,5.29
2015,Quindio,Pijao,18,0.98
2015,Bolívar,Calamar,6,16.67
2015,Sucre,Los Palmitos,21,10.73
2015,Cundinamarca,Gachancipá,20,1.92
2015,Cundinamarca,Sesquilé,12,2.88
2015,Santander,Molagavita,11,18.84
2015,Cauca,Timbío,35,1.7
2015,Cundinamarca,Susa,9,5.57
2015,Boyacá,Tibaná,25,34.39
2015,Casanare,Hato Corozal,25,47.61
2015,Boyacá,Sutatenza,14,29.98
2015,Sucre,Caimito,18,13.17
2015,La Guajira,Maicao,32,4.21
2015,Meta,Restrepo,35,7.79
2015,Huila,Guadalupe,64,50.74
2015,Huila,Aipe,58,43.28
2015,Casanare,Támara,14,56.25
2015,Norte de Santander,Teorama,12,41.64
2015,Archipiélago de San Andrés Providencia y Santa Catalina,San Andrés,101,0.61
2015,Cesar,Pailitas,39,58.29
2015,Huila,Palermo,69,22.51
2015,Magdalena,Guamal,49,22.08
2015,Boyacá,Paipa,64,1.84
2015,Santander,San Vicente De Chucurí,43,21.75
2015,Cundinamarca,Zipaquirá,90,0.62
2015,Cundinamarca,Sasaima,24,12.08
2015,Cauca,Suárez,30,7.43
2015,Santander,Oiba,12,0.44
2015,Caldas,Risaralda,90,63.45
2015,Córdoba,Sahagún,35,6.43
2015,Antioquia,Arboletes,26,0.14
2015,Antioquia,Puerto Berrío,44,5.26
2015,Córdoba,Buenavista,7,28.81
2015,Putumayo,San Miguel,14,59.4
2015,Bolívar,Soplaviento,3,58.33
2015,Cundinamarca,Paime,11,6.35
2015,Magdalena,Salamina,15,21.28
2015,Meta,El Calvario,20,50.8
2015,Antioquia,Vegachí,28,3.71
2015,Bolívar,Córdoba,12,39.18
2015,Antioquia,Carolina,29,1.46
2015,Atlántico,Tubará,17,3.43
2015,Putumayo,Puerto Guzmán,10,14.52
2015,Caquetá,Solita,4,52
2015,Cundinamarca,Útica,12,4.44
2015,Córdoba,La Apartada,6,52.32
2015,Norte de Santander,Cucutilla,13,37.98
2015,Boyacá,Tuta,32,11.13
2015,Magdalena,Ariguaní,56,57.85
2015,Santander,Capitanejo,9,27.08
2015,Atlántico,Campo De La Cruz,21,77.49
2015,Cundinamarca,Anolaima,53,11.4
2015,Santander,Palmas Del Socorro,20,8.72
2015,Santander,Socorro,32,6.21
2015,Casanare,Paz De Ariporo,24,3.82
2015,Cesar,San Alberto,60,1.57
2015,Valle del Cauca,Riofrío,32,31.42
2015,Caldas,Neira,122,64.97
2015,Antioquia,Campamento,28,0.28
2015,Antioquia,Dabeiba,48,2.16
2015,Atlántico,Juan De Acosta,26,0
2015,Antioquia,Necoclí,31,4.14
2015,Santander,Charalá,8,0
2015,Magdalena,Tenerife,19,61.3
2015,Cundinamarca,El Peñón,12,1.8
2015,Magdalena,Concordia,24,45.74
2015,Bolívar,Magangué,11,40.91
2015,Sucre,Guaranda,28,67.63
2015,Sucre,Tolú Viejo,20,55.83
2015,Cundinamarca,Guayabetal,11,7.85
2015,Bolívar,Talaigua Nuevo,8,60.85
2015,Cundinamarca,Nilo,24,3.19
2015,Meta,Acacías,87,14.35
2015,Cauca,Popayán,250,1.06
2015,Atlántico,Santo Tomás,18,0
2015,Nariño,Potosí,72,56.93
2015,Bolívar,Arjona,5,7.5
2015,Boyacá,Sutamarchán,33,50.47
2015,Cauca,Timbiquí,23,96.08
2015,Boyacá,Jenesano,33,28.57
2015,Arauca,Arauquita,25,3.87
2015,Bolívar,Turbaco,8,20.4
2015,Santander,Puerto Parra,11,44.55
2015,Cauca,Argelia,29,1.98
2015,Valle del Cauca,El Dovio,24,38.87
2015,Boyacá,Gameza,16,29.9
2015,Atlántico,Puerto Colombia,24,0
2015,Santander,Cepitá,9,10.76
2015,Antioquia,Abejorral,44,0.79
2015,Antioquia,San Juan De Urabá,21,47.63
2015,Boyacá,Arcabuco,33,34.39
2015,Cundinamarca,Caparrapí,12,15.11
2015,Magdalena,Santa Marta,297,5.04
